DANE NIEKORZYSTNE

Rozmiar  |  Algorytm 1 |
 2000 | 0.0144414160 |
 4000 | 0.0593210210 |
 6000 | 0.1325697740 |
 8000 | 0.2267839770 |
10000 | 0.3576075060 |
12000 | 0.5227448150 |
14000 | 0.7085247790 |
16000 | 0.9292158680 |
18000 | 1.1710290690 |
20000 | 1.4492649060 |
22000 | 1.7306328180 |
24000 | 2.0499678780 |
26000 | 2.4493441620 |
28000 | 2.8156882480 |
30000 | 3.2344820330 |
32000 | 3.6067677390 |
34000 | 4.1436987320 |
36000 | 4.6651295970 |
38000 | 5.1163202010 |
40000 | 5.7418438160 |
42000 | 6.2816565750 |
44000 | 6.8909347750 |
46000 | 7.5237023870 |
48000 | 8.1728304700 |
50000 | 8.8165306230 |
52000 | 9.5062130530 |
54000 | 10.2786981530 |
56000 | 11.1079638740 |
58000 | 11.8943073140 |
60000 | 12.6435719420 |


Rozmiar  |  Algorytm 2 |
 2000 | 0.0261988450 |
 4000 | 0.1067886190 |
 6000 | 0.2381430760 |
 8000 | 0.4226689450 |
10000 | 0.6588500020 |
12000 | 0.9476550450 |
14000 | 1.2980859460 |
16000 | 1.6868833920 |
18000 | 2.1348093790 |
20000 | 2.6368154950 |
22000 | 3.1962414750 |
24000 | 3.8237464220 |
26000 | 4.4945379310 |
28000 | 5.1981223130 |
30000 | 5.9538575480 |
32000 | 7.1015349670 |
34000 | 8.4360820070 |
36000 | 8.6803951560 |
38000 | 9.6213620860 |
40000 | 11.8685552170 |
42000 | 12.1136746270 |
44000 | 13.3996020240 |
46000 | 14.3854747470 |
48000 | 15.6298409250 |
50000 | 16.9332784940 |
52000 | 18.2897500360 |
54000 | 19.3683578270 |
56000 | 20.7780120870 |
58000 | 22.3558429500 |
60000 | 24.7303204110 |
