DANE LOSOWE

Rozmiar  |  Algorytm 1 |
 2000 | 0.0009935970 |
 4000 | 0.0021065470 |
 6000 | 0.0034447750 |
 8000 | 0.0042072850 |
10000 | 0.0051523490 |
12000 | 0.0065719490 |
14000 | 0.0068726740 |
16000 | 0.0096760300 |
18000 | 0.0095133430 |
20000 | 0.0104494950 |
22000 | 0.0126647750 |
24000 | 0.0104753250 |
26000 | 0.0092070730 |
28000 | 0.0106355400 |
30000 | 0.0106961430 |
32000 | 0.0114036120 |
34000 | 0.0126716820 |
36000 | 0.0132287880 |
38000 | 0.0152017920 |
40000 | 0.0147132490 |
42000 | 0.0159164090 |
44000 | 0.0172138430 |
46000 | 0.0169972300 |
48000 | 0.0188640080 |
50000 | 0.0201756890 |
52000 | 0.0205270290 |
54000 | 0.0220288550 |
56000 | 0.0227032140 |
58000 | 0.0230829800 |
60000 | 0.0248949960 |
62000 | 0.0251192240 |
64000 | 0.0253462480 |
66000 | 0.0261393060 |
68000 | 0.0281172820 |
70000 | 0.0290789020 |
72000 | 0.0310407550 |
74000 | 0.0313014900 |
76000 | 0.0327350320 |
78000 | 0.0332191030 |
80000 | 0.0324459100 |
82000 | 0.0333226910 |
84000 | 0.0339141310 |
86000 | 0.0355851900 |
88000 | 0.0343303140 |
90000 | 0.0363124790 |
92000 | 0.0367094860 |
94000 | 0.0391905270 |
96000 | 0.0392835870 |
98000 | 0.0427178620 |
100000 | 0.0465998240 |
102000 | 0.0405445790 |
104000 | 0.0448247360 |
106000 | 0.0475764560 |
108000 | 0.0462296740 |
110000 | 0.0451471750 |
112000 | 0.0491230910 |
114000 | 0.0494426130 |
116000 | 0.0506369510 |
118000 | 0.0505278010 |
120000 | 0.0502400910 |
122000 | 0.0506089310 |
124000 | 0.0530455540 |
126000 | 0.0533040720 |
128000 | 0.0546618780 |
130000 | 0.0553528420 |
132000 | 0.0586640270 |
134000 | 0.0579071360 |
136000 | 0.0568493940 |
138000 | 0.0645761350 |
140000 | 0.0612092860 |
142000 | 0.0598945110 |
144000 | 0.0651344190 |
146000 | 0.0663746250 |
148000 | 0.0634905470 |
150000 | 0.0641732330 |
152000 | 0.0647909190 |
154000 | 0.0653519290 |
156000 | 0.0677736930 |
158000 | 0.0686010710 |
160000 | 0.0724262400 |
162000 | 0.0716281780 |
164000 | 0.0731159240 |
166000 | 0.0701188150 |
168000 | 0.0783412420 |
170000 | 0.0749238660 |
172000 | 0.0736427390 |
174000 | 0.0779368450 |
176000 | 0.1038457410 |
178000 | 0.1000467690 |
180000 | 0.0888431790 |
182000 | 0.0952514350 |
184000 | 0.0866742930 |
186000 | 0.1000668160 |
188000 | 0.0832150490 |
190000 | 0.1288525620 |
192000 | 0.1396361380 |
194000 | 0.1053174890 |
196000 | 0.0992248660 |
198000 | 0.0993354470 |
200000 | 0.1276201680 |


Rozmiar  |  Algorytm 2 |
 2000 | 0.0072700760 |
 4000 | 0.0282287580 |
 6000 | 0.0463110850 |
 8000 | 0.0835064350 |
10000 | 0.1541315820 |
12000 | 0.1656737420 |
14000 | 0.2292054550 |
16000 | 0.3168731760 |
18000 | 0.3195116450 |
20000 | 0.3937346980 |
22000 | 0.4790635160 |
24000 | 0.5807744020 |
26000 | 0.6026434030 |
28000 | 0.6789920340 |
30000 | 0.7787107570 |
32000 | 0.8742211730 |
34000 | 1.0094627080 |
36000 | 1.1458791350 |
38000 | 1.2446943670 |
40000 | 1.3898586580 |
42000 | 1.5171990870 |
44000 | 1.6448078300 |
46000 | 1.8008446620 |
48000 | 1.9694834870 |
50000 | 2.1422053690 |
52000 | 2.3083476540 |
54000 | 2.4709989440 |
56000 | 2.6789344670 |
58000 | 2.8574110920 |
60000 | 3.0758624410 |
62000 | 3.2905496440 |
64000 | 3.4931897030 |
66000 | 3.7508101030 |
68000 | 3.9659355980 |
70000 | 4.1704951790 |
72000 | 4.4553562850 |
74000 | 4.6754899130 |
76000 | 4.9296947650 |
78000 | 5.2029772020 |
80000 | 5.4481120010 |
82000 | 5.7539024310 |
84000 | 5.9888646720 |
86000 | 6.3110022180 |
88000 | 6.5648749010 |
90000 | 6.8744656170 |
92000 | 7.1692773390 |
94000 | 9.4287050520 |
96000 | 9.1462198980 |
98000 | 8.6551600430 |
100000 | 8.7800300240 |
